"","logFC","logCPM","PValue","FDR"
"GRMZM2G360234",1.90112374063657,5.33314450784481,1.57154904235739e-10,2.839560991453e-08
"GRMZM2G007256",1.95036574528035,3.69638926333456,1.70477331108815e-10,3.0556356827944e-08
"GRMZM5G822829",4.90664732869451,3.69289087949893,2.03210139115449e-10,3.61343108482669e-08
"GRMZM2G047474",1.5626968767926,5.19044571068789,2.14140255260452e-10,3.74961365798152e-08
"GRMZM2G046615",2.94743880354947,6.32331631291506,2.14215821567344e-10,3.74961365798152e-08
"GRMZM2G162388",1.2563353418319,8.79644096543498,2.27936030552172e-10,3.95884245311737e-08
"GRMZM2G025175",2.28203896222243,3.86474195957926,2.3906814030629e-10,4.12024744889417e-08
"GRMZM2G456547",3.73149180458435,3.78080435510204,2.44263115980228e-10,4.16476202380868e-08
"GRMZM2G059037",2.54447443060965,4.87267970395123,2.45368706602431e-10,4.16476202380868e-08
"GRMZM2G443668",1.75973056120542,8.56571996245697,2.78545119335942e-10,4.69233338249758e-08
"GRMZM2G346861",-1.73567062859991,6.2879312500523,3.54480182179469e-10,5.9269615535306e-08
"GRMZM2G361855",4.49682255095518,3.34333962983652,3.73295697561789e-10,6.19532600286805e-08
"GRMZM2G098520",1.1363093652451,11.2962607235432,4.27642740785803e-10,7.04509971125435e-08
"GRMZM2G149698",1.58791168685372,5.17399128704534,4.71160731455928e-10,7.70536948048909e-08
"GRMZM2G020066",6.01922062379891,2.79663714363484,4.8470329088744e-10,7.86940379154572e-08
"GRMZM2G154595",1.08678151130472,7.24982693413821,5.13673404091417e-10,8.2797500853728e-08
"GRMZM5G857944",-1.59049553078863,4.07466650686385,5.6341020921257e-10,9.01657552671974e-08
"GRMZM2G093474",2.60670255219531,3.85636151219783,5.68875045011606e-10,9.03946481098229e-08
"GRMZM2G163406",6.01404524566685,1.39554078426582,5.74039333917013e-10,9.05728963127513e-08
"GRMZM2G141731",2.27220467826573,3.16557680841699,6.4515492824257e-10,1.01081791379544e-07
"GRMZM2G079873",2.38110831697074,3.5839738592277,6.50510253868224e-10,1.0121307109665e-07
"GRMZM2G410357",1.33187287519767,5.54277233501109,6.79951162135484e-10,1.05064177845831e-07
"GRMZM2G473001",1.54098655787057,7.12573816838328,7.15151975405538e-10,1.09746438417542e-07
"GRMZM2G018820",2.5293852741564,8.88356390213357,7.72888016325455e-10,1.17799700719536e-07
"GRMZM2G039345",1.25778645113351,5.1876351405774,8.11829163148678e-10,1.22898867569906e-07
"GRMZM2G166906",3.98106063403952,3.69946183633024,8.46502870149552e-10,1.27287898024837e-07
"GRMZM2G404603",3.0149468132348,1.97873961495552,9.00650587756872e-10,1.34527176124618e-07
"GRMZM2G058227",3.00456869575549,6.45430443629706,9.95140209160085e-10,1.47656399908819e-07
"GRMZM2G064091",3.55952402595741,4.71216714178121,1.01062090713631e-09,1.48966851476244e-07
"GRMZM2G139689",1.56672434181264,5.80562723581424,1.05056953377969e-09,1.53843205257085e-07
"GRMZM2G423863",3.58585317346018,3.11419229443044,1.06567068895461e-09,1.55018959760056e-07
"GRMZM2G043955",-1.60597842177134,4.12477166405244,1.07243645448822e-09,1.55018959760056e-07
"GRMZM2G134054",2.66209349173056,4.84744983096317,1.15103023892252e-09,1.65313028865764e-07
"AC197705.4_FG011",1.45894188616999,8.32271244740151,1.16676286162068e-09,1.66505235124913e-07
"GRMZM5G828229",1.61331926307171,5.52316047022632,1.19114549735689e-09,1.68908954862539e-07
"GRMZM2G079746",1.64662976056469,4.21286360104223,1.21430076794518e-09,1.71109488715797e-07
"GRMZM2G101270",5.15304951118329,1.95055774524063,1.29636150868489e-09,1.81531122513032e-07
"GRMZM2G531230",-2.13446299376485,5.37065900775648,1.33839098805032e-09,1.86252485014083e-07
"GRMZM2G074097",2.55023478211268,7.58175431933262,1.38310419178149e-09,1.91286724795458e-07
"GRMZM6G205247",-2.19154741407256,2.74074872896037,1.4302146834744e-09,1.95423332821088e-07
"GRMZM2G090266",-2.09688109811707,2.84327007340363,1.43540857675311e-09,1.95423332821088e-07
"GRMZM2G121166",1.66523239105285,5.64746006033479,1.43918098261458e-09,1.95423332821088e-07
"GRMZM2G054123",1.77345083025259,4.78718495174926,1.45741131187679e-09,1.96706629172286e-07
"GRMZM2G371063",4.57942592837672,1.10334528860549,1.47445676788377e-09,1.9781559212237e-07
"GRMZM2G163514",7.06049294425339,3.19855143999175,1.58177618347449e-09,2.10950567802059e-07
"GRMZM2G459854",1.26667476768484,5.97510829658702,1.63959688623444e-09,2.17367859385105e-07
"GRMZM5G837606",-3.2261114007352,1.72470822162974,1.66720975589584e-09,2.1972843871086e-07
"GRMZM2G166976",2.46782084652297,7.70435811547969,1.82791313063202e-09,2.39499378314681e-07
"GRMZM2G466780",-1.81721532686192,3.94188130643018,1.84676202433267e-09,2.40562227646358e-07
"GRMZM2G141600",1.43328902134112,5.5532108270878,1.93272754895268e-09,2.50304975342686e-07
"AC202122.2_FG006",4.39107020355946,3.52587880907975,1.97284733117275e-09,2.54032439396124e-07
"GRMZM5G840538",4.13495442302869,1.12381418835615,2.02732616081403e-09,2.5955567218879e-07
"GRMZM2G097505",-2.59810560689952,3.16527043414928,2.07701550356266e-09,2.64406433848417e-07
"GRMZM2G070034",-1.50065689823693,6.6953825348332,2.22931868530937e-09,2.82191441493539e-07
"GRMZM2G057067",1.84903653304282,4.49767304257929,2.29517370740856e-09,2.88895319744319e-07
"GRMZM2G424053",1.62951029061876,8.59031541032772,2.73828610461459e-09,3.42744693708883e-07
"GRMZM2G066413",1.34695595571805,6.61555389357288,2.76658251237579e-09,3.43264537989497e-07
"GRMZM2G003385",1.55695459961918,6.93480137235812,2.77308107012269e-09,3.43264537989497e-07
"GRMZM2G365160",1.54569021012167,6.00159263056005,3.84180068558816e-09,4.72942551431884e-07
"GRMZM2G072890",2.86451706656296,3.88952018177862,4.11624048112069e-09,5.03958294969994e-07
"GRMZM2G113873",1.23212129350463,6.74425082312335,4.19503934076988e-09,5.10814437119289e-07
"GRMZM2G152549",1.84521421632893,4.17397303059648,5.36817120822443e-09,6.50129059028478e-07
"GRMZM2G177050",1.6328692578883,4.27989543771139,5.68799708862551e-09,6.85159004143304e-07
"GRMZM2G180044",-2.71812635611219,1.8360181629093,6.14607551622768e-09,7.36378726957653e-07
"GRMZM2G362848",-2.16839387655883,2.97192256927506,6.33336601334284e-09,7.52226423408413e-07
"GRMZM2G158972",2.02088212385091,4.65678879970173,6.34549404258826e-09,7.52226423408413e-07
"GRMZM2G099003",2.24201467681655,6.50279840765116,6.92592897938806e-09,8.16712835700998e-07
"GRMZM5G813578",-3.4507869892135,1.35022871223113,7.13408549724524e-09,8.36854374689946e-07
"GRMZM2G116248",-3.11121571395735,2.38026847194099,7.66965185582089e-09,8.94992447029516e-07
"GRMZM2G175728",1.55494523730006,6.17592597222386,7.74291264053665e-09,8.98859884514112e-07
"GRMZM2G004128",-1.5512793783824,5.59227964673359,8.41563258931712e-09,9.71918804967269e-07
"GRMZM2G071021",1.70864719250128,7.25863756017944,8.85274101172657e-09,1.01715724291146e-06
"GRMZM2G132690",1.75907443970227,4.96759066241509,9.02194436292149e-09,1.03130950740437e-06
"GRMZM2G064657",1.42693801176514,7.09061179806363,1.05344973355543e-08,1.19809854214769e-06
"GRMZM2G315375",-1.41471828281665,5.39029347421979,1.08016623195008e-08,1.22227901145664e-06
"GRMZM2G039797",1.30869204304455,7.46999632610066,1.13392309010556e-08,1.27666064491533e-06
"GRMZM2G139874",1.53250354973221,5.13217492904644,1.14162951231686e-08,1.27891046117296e-06
"GRMZM2G033971",1.79567950473517,5.24904285803642,1.18141327872657e-08,1.31689375670989e-06
"GRMZM2G168707",1.21444670325337,6.65146078791776,1.22967947568088e-08,1.36390933923912e-06
"GRMZM2G172491",1.84133374777098,4.5983271418393,1.27207374726003e-08,1.40398090184045e-06
"GRMZM2G044902",1.88845250959427,3.1433948268003,1.429451946086e-08,1.56994464961063e-06
"GRMZM2G417382",-2.97101734492805,2.11352827527189,1.49015242145692e-08,1.62862756110938e-06
"GRMZM2G154648",0.950146078871406,7.0475018603287,1.56331478537126e-08,1.70029455175937e-06
"GRMZM2G141665",1.35198546340204,6.49591689094483,1.67971724236734e-08,1.81807076402127e-06
"GRMZM2G116658",-0.968134332619817,4.93150974792537,1.69749570491411e-08,1.82130928979292e-06
"GRMZM2G105140",3.31640411382198,1.40528928139648,1.69896738034688e-08,1.82130928979292e-06
"GRMZM5G828488",2.84235056120196,3.37341023822311,1.80914353147302e-08,1.92925614293812e-06
"GRMZM2G316534",-1.16725125194729,5.33006597402324,1.82547017145872e-08,1.92925614293812e-06
"GRMZM2G066496",1.15906832947597,5.61145237382726,1.82549565857122e-08,1.92925614293812e-06
"GRMZM2G150337",1.07346146245616,6.05073633078167,1.89026210907829e-08,1.98832500253048e-06
"GRMZM2G470766",6.42514220042688,1.0445636404549,1.93186515471879e-08,2.02259059773245e-06
"GRMZM2G084005",1.68783788467516,2.91139271133626,1.95170464842363e-08,2.03385779757821e-06
"GRMZM2G146819",1.2685902498065,7.42319146016901,2.195727328819e-08,2.2775588334347e-06
"GRMZM2G166767",1.93183214961901,6.18015144790749,2.21597193952153e-08,2.28796549792534e-06
"GRMZM2G332505",1.42154897730816,4.34704450358757,2.43917831693772e-08,2.49983730689305e-06
"GRMZM2G463730",-0.929820106443298,5.18238811241199,2.44349194469796e-08,2.49983730689305e-06
"GRMZM5G852502",0.913099869790672,9.21150368409499,2.5511664074517e-08,2.5981310617707e-06
"GRMZM2G152477",2.15408369833526,5.32156067059181,2.57865217802343e-08,2.61423991170203e-06
"GRMZM2G122231",1.50141770307309,5.8548991550639,2.64289018823847e-08,2.66729525529202e-06
"GRMZM2G138152",0.97540760775072,5.50186413437565,2.65779311682056e-08,2.6703073893437e-06
"GRMZM2G119916",1.09326811345759,4.13312857424828,2.70891459636721e-08,2.69177615906848e-06
"GRMZM2G090733",4.01131166167589,0.916614651528471,2.7090776588977e-08,2.69177615906848e-06
"GRMZM2G312091",2.7398571177433,1.72013526355477,2.7152038024971e-08,2.69177615906848e-06
