,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G032821,1.27496141,7.283849295,1.34E-12,3.75E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G141320,4.023984192,6.284089024,1.38E-12,3.80E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G086179,3.925615873,9.945784104,1.49E-12,4.08E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G057140,3.557420301,5.19772701,1.68E-12,4.54E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G355752,2.852541787,7.070151339,1.83E-12,4.89E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G056355,2.212192989,4.121715431,1.91E-12,5.03E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G011141,3.534947093,3.484946578,2.06E-12,5.36E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G050561,4.627185024,2.72245429,2.10E-12,5.40E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G021706,1.607474396,6.94300253,2.25E-12,5.74E-10,,,,,,,,,,,,,,,,,,,
GRMZM5G864903,-3.529330994,3.82308313,2.31E-12,5.82E-10,,"cytochrome P450, family 709, subfamily B, polypeptide 2",,,,,,,,,,,,,,,,,
GRMZM2G412604,3.213551934,5.1211454,3.50E-12,8.71E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G060311,3.710919359,5.385038544,5.39E-12,1.33E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G024705,4.302895569,4.26486725,6.87E-12,1.67E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G542538,2.560393992,3.906863878,7.14E-12,1.72E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G166548,4.879072999,1.187395292,7.94E-12,1.89E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G173882,2.238459557,5.163022186,9.63E-12,2.27E-09,,,,,,,,,,,,,,,,,,,
AC209981.3_FG006,6.00741183,0.738470134,1.10E-11,2.56E-09,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G035579,2.882630272,6.820894622,1.38E-11,3.19E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G085078,1.990501232,6.790421674,1.52E-11,3.47E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G366065,1.603679028,5.852685988,1.74E-11,3.93E-09,,,,,,,,,,,,,,,,,,,
GRMZM5G821139,-2.466655018,3.631549548,1.79E-11,4.02E-09,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G360455,2.327611961,4.672814599,2.33E-11,5.17E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G158117,-2.029180492,3.470535752,2.43E-11,5.34E-09,,RAD-like 1,,Homeo-related,,,,,,,,,,,,,,,
GRMZM2G034407,6.400345812,1.024857614,2.91E-11,6.34E-09,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G702229,2.659516358,3.785364081,3.15E-11,6.78E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G110286,4.952589186,0.891106388,3.29E-11,7.01E-09,,,,,,,,,,,,,,,,,,,
