,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G173390,0.843581363,0.570310146,0.368604571,0.651667751,,,,,,,,,,,,,,,,,,,
GRMZM2G116135,-0.162839407,5.780796855,0.36866296,0.651687367,,,,,,,,,,,,,,,,,,,
GRMZM2G121034,0.156747156,8.57010908,0.36867384,0.651687367,,,,,,,,,,,,,,,,,,,
GRMZM2G154565,-0.400393431,3.897212161,0.368773874,0.651791973,,,,,,,,,,,,,,,,,,,
GRMZM2G068340,0.177648927,5.667670918,0.368799234,0.651791973,,,,,,,,,,,,,,,,,,,
GRMZM2G357683,0.336709229,2.469257292,0.368820292,0.651791973,,,,,,,,,,,,,,,,,,,
GRMZM2G006219,0.363465758,4.599882428,0.368878948,0.651844217,,,,,,,,,,,,,,,,,,,
AC233893.1_FG006,-0.473699838,0.576862471,0.36906217,0.652095602,,,,,,,,,,,,,,,,,,,
GRMZM2G112596,0.222098733,4.529649064,0.369122709,0.652095602,,,,,,,,,,,,,,,,,,,
GRMZM2G321753,-0.127814568,6.388122869,0.369133332,0.652095602,,,,,,,,,,,,,,,,,,,
GRMZM2G095397,-0.362063969,1.657071634,0.369137627,0.652095602,,,,,,,,,,,,,,,,,,,
GRMZM2G460096,-0.884503745,0.560987279,0.369172394,0.652105604,,,,,,,,,,,,,,,,,,,
GRMZM2G422103,-0.67722825,0.53121986,0.369255731,0.652122537,,,,,,,,,,,,,,,,,,,
GRMZM2G026855,0.193947075,4.64961345,0.369258218,0.652122537,,,,,,,,,,,,,,,,,,,
GRMZM2G138809,-0.239824666,5.315890602,0.369269298,0.652122537,,,,,,,,,,,,,,,,,,,
GRMZM2G479018,-0.38464746,1.644428486,0.369317498,0.65215449,,,,,,,,,,,,,,,,,,,
GRMZM2G169813,-1.467395541,0.417383733,0.369345607,0.65215449,,,,,,,,,,,,,,,,,,,
AC234520.1_FG003,0.2388704,4.888153545,0.369434036,0.652259226,,,,,,,,,,,,,,,,,,,
GRMZM5G820163,-0.560542976,0.518789533,0.369489261,0.652305325,,,,,,,,,,,,,,,,,,,
GRMZM2G024348,-0.254343521,2.939860639,0.369540457,0.652344307,,,,,,,,,,,,,,,,,,,
GRMZM2G039505,-0.20224909,4.013811002,0.369645315,0.652478001,,,,,,,,,,,,,,,,,,,
GRMZM2G047095,-0.19811801,4.057797385,0.369678258,0.652484746,,,,,,,,,,,,,,,,,,,
GRMZM2G018074,-0.185039231,7.007110299,0.36976299,0.652535231,,,,,,,,,,,,,,,,,,,
GRMZM2G049398,0.363732593,1.340118565,0.369796213,0.652535231,,,,,,,,,,,,,,,,,,,
GRMZM2G084583,-0.27270085,4.208646655,0.369846972,0.652535231,,,,,,,,,,,,,,,,,,,
GRMZM2G070068,-0.275405516,3.039438056,0.369849006,0.652535231,,,,,,,,,,,,,,,,,,,
GRMZM2G122116,-0.183712036,5.276630568,0.369857886,0.652535231,,,,,,,,,,,,,,,,,,,
GRMZM2G144818,0.29246475,4.06151738,0.369881608,0.652535231,,,,,,,,,,,,,,,,,,,
GRMZM2G311643,-0.311716862,4.093673824,0.369917536,0.652547232,,,,,,,,,,,,,,,,,,,
GRMZM2G333659,0.699308789,2.375037603,0.370071075,0.652697627,,,,,,,,,,,,,,,,,,,
GRMZM2G075719,0.155829627,4.901479596,0.3700743,0.652697627,,,,,,,,,,,,,,,,,,,
GRMZM2G579382,0.50791118,1.929192388,0.370090188,0.652697627,,,,,,,,,,,,,,,,,,,
GRMZM2G107437,0.335004193,1.724365174,0.370125712,0.652708901,,,,,,,,,,,,,,,,,,,
GRMZM2G379686,0.231182708,3.873131592,0.37032088,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM2G107591,0.443823319,2.798416683,0.370327623,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM2G027075,0.367058843,1.75978967,0.370335899,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM5G838165,-0.441357251,1.194844503,0.370361387,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM5G899926,0.167734608,4.62887028,0.370362014,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM2G172932,-0.513474341,0.484117067,0.370368614,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM2G080846,-0.686581463,0.462942736,0.370379328,0.65279648,,,,,,,,,,,,,,,,,,,
GRMZM2G149865,0.241157542,2.676323777,0.370437517,0.652847682,,,,,,,,,,,,,,,,,,,
GRMZM2G035017,-0.198885905,5.289530259,0.370495718,0.652856998,,,,,,,,,,,,,,,,,,,
GRMZM5G865543,0.318323599,6.406030746,0.370501081,0.652856998,,,,,,,,,,,,,,,,,,,
GRMZM2G046117,1.057643346,0.710614535,0.370532993,0.652861883,,,,,,,,,,,,,,,,,,,
GRMZM2G469946,0.447812066,0.943578069,0.370926496,0.653503825,,,,,,,,,,,,,,,,,,,
GRMZM2G480262,-0.522374534,0.485594107,0.371014071,0.653587943,,,,,,,,,,,,,,,,,,,
GRMZM2G063775,-0.177968833,3.861948456,0.371032584,0.653587943,,,,,,,,,,,,,,,,,,,
GRMZM2G171953,0.441882912,1.107041459,0.371085264,0.653629351,,,,,,,,,,,,,,,,,,,
GRMZM2G061735,-0.173972527,4.743357591,0.371227339,0.6538282,,,,,,,,,,,,,,,,,,,
AC188024.3_FG003,-0.656625314,1.688371771,0.371265717,0.653844394,,,,,,,,,,,,,,,,,,,
GRMZM2G012865,-0.252226386,6.260249664,0.371318985,0.653886808,,,,,,,,,,,,,,,,,,,
GRMZM2G042666,-0.186660838,6.501444983,0.371393814,0.653925281,,,,,,,,,,,,,,,,,,,
GRMZM2G701108,0.301715764,2.387139016,0.371399206,0.653925281,,,,,,,,,,,,,,,,,,,
GRMZM2G022275,0.144588766,6.847205388,0.371498108,0.65404802,,,,,,,,,,,,,,,,,,,
GRMZM2G101613,0.243933786,5.486158297,0.371771305,0.654453975,,,,,,,,,,,,,,,,,,,
GRMZM2G136300,-0.341975761,2.739286745,0.37178711,0.654453975,,,,,,,,,,,,,,,,,,,
GRMZM2G139467,-0.310104409,4.976774646,0.371840688,0.654454549,,,,,,,,,,,,,,,,,,,
GRMZM2G469901,-0.344141768,2.503641935,0.371848985,0.654454549,,,,,,,,,,,,,,,,,,,
GRMZM2G161680,-0.353933229,2.505070533,0.371875066,0.654454549,,,,,,,,,,,,,,,,,,,
GRMZM2G007384,-0.174670264,3.995050741,0.371942422,0.654521675,,,,,,,,,,,,,,,,,,,
GRMZM2G125552,-0.522339359,0.716080495,0.371990927,0.654555621,,,,,,,,,,,,,,,,,,,
GRMZM2G000823,-0.207004769,4.025115249,0.372024439,0.654563182,,,,,,,,,,,,,,,,,,,
GRMZM2G060541,-0.428955652,1.736218638,0.372082944,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G177001,-0.507770074,0.788815646,0.37213719,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G044038,-0.22500322,6.360711101,0.372139356,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G049349,-0.305620972,4.485538559,0.372274923,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G020728,0.305644501,2.350715354,0.372278037,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G058095,-0.241592779,4.47408801,0.372301676,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G367326,0.840899278,0.936555012,0.372324498,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G407396,0.301070602,2.342728522,0.372362038,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G043932,0.293365102,4.264382597,0.372363915,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G175447,-0.340765252,1.827679284,0.372384001,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G098039,0.204762154,6.489364771,0.372385424,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G134104,0.181920052,3.709022471,0.372397156,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G079117,0.598182786,1.531757483,0.372412143,0.654577082,,,,,,,,,,,,,,,,,,,
GRMZM2G432128,-0.166750431,6.091544327,0.372567895,0.654799474,,,,,,,,,,,,,,,,,,,
GRMZM2G304108,-0.471754592,1.833607517,0.372780705,0.655122103,,,,,,,,,,,,,,,,,,,
GRMZM2G083812,0.286700488,2.826980011,0.37298038,0.655421601,,,,,,,,,,,,,,,,,,,
GRMZM2G340065,-0.451263206,1.73007926,0.373030156,0.655457662,,,,,,,,,,,,,,,,,,,
GRMZM2G096946,0.202265441,3.832687518,0.373167506,0.655566551,,,,,,,,,,,,,,,,,,,
GRMZM2G127312,0.260442793,4.744918157,0.373200521,0.655566551,,,,,,,,,,,,,,,,,,,
GRMZM5G818431,-0.164389291,6.704669058,0.37323213,0.655566551,,,,,,,,,,,,,,,,,,,
GRMZM2G012992,-0.425696309,2.043719376,0.373237151,0.655566551,,,,,,,,,,,,,,,,,,,
GRMZM2G087806,-0.138460569,5.450099101,0.373238426,0.655566551,,,,,,,,,,,,,,,,,,,
GRMZM2G397339,0.657060588,2.055113839,0.373314235,0.655648306,,,,,,,,,,,,,,,,,,,
GRMZM2G315074,0.353097771,1.808314036,0.373343762,0.655648769,,,,,,,,,,,,,,,,,,,
GRMZM5G805526,0.206569254,5.332541931,0.373786076,0.656374091,,,,,,,,,,,,,,,,,,,
GRMZM2G418294,-0.359270812,2.438819131,0.373933006,0.656580642,,,,,,,,,,,,,,,,,,,
AC213600.3_FG002,-0.247653067,3.625757181,0.3739898,0.656628905,,,,,,,,,,,,,,,,,,,
GRMZM2G105438,-0.260796143,2.841526329,0.374021154,0.6566325,,,,,,,,,,,,,,,,,,,
GRMZM2G085948,0.14557583,4.989851197,0.374091087,0.656703816,,,,,,,,,,,,,,,,,,,
GRMZM2G078022,-0.199780881,3.858879539,0.37415616,0.65676659,,,,,,,,,,,,,,,,,,,
GRMZM2G125991,-0.528947248,0.841745655,0.374230037,0.656844808,,,,,,,,,,,,,,,,,,,
GRMZM2G024150,0.235474826,8.989836933,0.374300344,0.656892449,,,,,,,,,,,,,,,,,,,
GRMZM5G800586,-0.279909148,6.127884656,0.374370457,0.656892449,,,,,,,,,,,,,,,,,,,
GRMZM2G090747,-0.385901475,2.082404279,0.374372025,0.656892449,,,,,,,,,,,,,,,,,,,
GRMZM2G088356,0.247911967,8.709064584,0.374374456,0.656892449,,,,,,,,,,,,,,,,,,,
GRMZM2G034276,-0.135924429,5.699841401,0.374438043,0.656952572,,,,,,,,,,,,,,,,,,,
GRMZM2G065171,-0.249224205,2.789188755,0.374507107,0.656977004,,,,,,,,,,,,,,,,,,,
GRMZM2G135968,-0.220889555,3.783361742,0.374510613,0.656977004,,,,,,,,,,,,,,,,,,,
GRMZM2G171987,0.209522611,3.654989136,0.374558157,0.657008965,,,,,,,,,,,,,,,,,,,
GRMZM6G037947,-0.450797382,0.930355194,0.374590264,0.657013846,,,,,,,,,,,,,,,,,,,
GRMZM2G330153,0.978253663,0.712108969,0.37464987,0.657066955,,,,,,,,,,,,,,,,,,,
GRMZM2G166245,-0.348080297,3.27897564,0.374854302,0.657374032,,,,,,,,,,,,,,,,,,,
GRMZM2G467695,0.633838409,0.811417081,0.37504831,0.657637113,,,,,,,,,,,,,,,,,,,
GRMZM2G445626,-0.374285982,1.503589776,0.375063023,0.657637113,,,,,,,,,,,,,,,,,,,
GRMZM2G163054,-0.671284308,0.495977497,0.37510994,0.65766791,,,,,,,,,,,,,,,,,,,
GRMZM2G059453,0.214524268,3.993750505,0.375346841,0.658031766,,,,,,,,,,,,,,,,,,,
GRMZM2G074546,0.306996134,8.72252246,0.375406311,0.658084531,,,,,,,,,,,,,,,,,,,
GRMZM2G040477,-0.225603708,4.905945381,0.375478955,0.65816038,,,,,,,,,,,,,,,,,,,
GRMZM2G010136,-0.248385833,2.990014762,0.375575812,0.658236349,,,,,,,,,,,,,,,,,,,
GRMZM2G114756,1.247737326,0.108829372,0.375581052,0.658236349,,,,,,,,,,,,,,,,,,,
AC203220.3_FG002,0.906776545,1.06301365,0.37562412,0.658260337,,,,,,,,,,,,,,,,,,,
GRMZM2G138896,0.404661592,2.235077911,0.375688377,0.65830781,,,,,,,,,,,,,,,,,,,
GRMZM2G166738,0.285681644,5.224193031,0.375709974,0.65830781,,,,,,,,,,,,,,,,,,,
GRMZM2G162966,1.018273681,0.693801082,0.375806568,0.658425568,,,,,,,,,,,,,,,,,,,
GRMZM2G001721,-0.612447316,0.798895015,0.375848454,0.658447464,,,,,,,,,,,,,,,,,,,
GRMZM2G132273,0.65102894,0.75350022,0.376268184,0.659126985,,,,,,,,,,,,,,,,,,,
GRMZM2G122843,0.182112053,7.999135462,0.376295169,0.659126985,,,,,,,,,,,,,,,,,,,
GRMZM2G031479,-0.611876254,0.48272946,0.376364399,0.659196714,,,,,,,,,,,,,,,,,,,
GRMZM2G149969,-0.560680133,1.223726002,0.376440826,0.659279035,,,,,,,,,,,,,,,,,,,
GRMZM2G067638,0.398172292,1.692128161,0.376568241,0.659392698,,,,,,,,,,,,,,,,,,,
GRMZM2G006765,-0.343763515,4.963387839,0.376572942,0.659392698,,,,,,,,,,,,,,,,,,,
GRMZM2G342881,-0.868155125,1.318538217,0.376624041,0.659392698,,,,,,,,,,,,,,,,,,,
GRMZM2G018689,-0.252597638,3.352693236,0.376636657,0.659392698,,,,,,,,,,,,,,,,,,,
GRMZM2G026043,-0.153260203,4.99879978,0.376676394,0.659392698,,,,,,,,,,,,,,,,,,,
GRMZM2G041799,-0.14161829,4.922953094,0.376682309,0.659392698,,,,,,,,,,,,,,,,,,,
GRMZM2G472382,0.203684466,4.662815863,0.376738919,0.659440272,,,,,,,,,,,,,,,,,,,
GRMZM2G155626,-0.369618237,1.52135538,0.37677583,0.65945336,,,,,,,,,,,,,,,,,,,
GRMZM2G123652,0.142752682,7.960028876,0.376879817,0.659554726,,,,,,,,,,,,,,,,,,,
GRMZM2G120296,0.226029641,3.172771359,0.37689262,0.659554726,,,,,,,,,,,,,,,,,,,
GRMZM2G146173,0.354543452,1.831408266,0.376984747,0.659621231,,,,,,,,,,,,,,,,,,,
GRMZM2G496115,0.435606372,1.639883468,0.376995318,0.659621231,,,,,,,,,,,,,,,,,,,
GRMZM2G176576,-0.291578649,3.921778722,0.377018946,0.659621231,,,,,,,,,,,,,,,,,,,
GRMZM2G033937,-0.393171519,3.491546501,0.377207662,0.659899872,,,,,,,,,,,,,,,,,,,
GRMZM2G167387,0.38987474,2.838800755,0.377311846,0.660030599,,,,,,,,,,,,,,,,,,,
GRMZM2G026833,0.198673468,8.558396701,0.377347904,0.660042141,,,,,,,,,,,,,,,,,,,
AC233880.1_FG006,0.230205733,2.86821444,0.377511271,0.660202553,,,,,,,,,,,,,,,,,,,
GRMZM2G084397,0.879559497,0.765726382,0.377520183,0.660202553,,,,,,,,,,,,,,,,,,,
GRMZM2G443728,0.186743351,6.33092076,0.377545952,0.660202553,,,,,,,,,,,,,,,,,,,
GRMZM2G106204,0.618193072,0.508397207,0.377557478,0.660202553,,,,,,,,,,,,,,,,,,,
GRMZM2G020548,0.15304723,4.975944636,0.377678236,0.660362172,,,,,,,,,,,,,,,,,,,
GRMZM2G136081,0.29140677,3.474555819,0.377858079,0.660580052,,,,,,,,,,,,,,,,,,,
GRMZM2G381051,0.226511402,3.664636203,0.377861814,0.660580052,,,,,,,,,,,,,,,,,,,
GRMZM2G016184,-0.335491217,1.983413967,0.377996889,0.660739378,,,,,,,,,,,,,,,,,,,
GRMZM2G044359,-0.455670318,1.39225089,0.378011933,0.660739378,,,,,,,,,,,,,,,,,,,
GRMZM2G320230,-0.999304457,0.252889484,0.378065646,0.660781714,,,,,,,,,,,,,,,,,,,
GRMZM2G159841,-0.959612939,1.596869855,0.37811243,0.660782544,,,,,,,,,,,,,,,,,,,
GRMZM2G024739,-0.14118163,6.945160307,0.378125106,0.660782544,,,,,,,,,,,,,,,,,,,
GRMZM2G061890,0.190777573,4.664102973,0.378252788,0.66095412,,,,,,,,,,,,,,,,,,,
GRMZM2G083394,0.373259122,1.354719472,0.378283874,0.66095689,,,,,,,,,,,,,,,,,,,
GRMZM2G414002,-0.199101881,4.902340448,0.378350688,0.661018066,,,,,,,,,,,,,,,,,,,
GRMZM2G072500,0.591146126,0.683323125,0.378377893,0.661018066,,,,,,,,,,,,,,,,,,,
GRMZM2G155532,-0.219269377,5.342540651,0.37842694,0.661052207,,,,,,,,,,,,,,,,,,,
GRMZM2G095141,0.151344118,7.241726363,0.378582698,0.661196395,,,,,,,,,,,,,,,,,,,
GRMZM2G090226,0.36322783,3.719522597,0.378589678,0.661196395,,,,,,,,,,,,,,,,,,,
GRMZM2G068071,-0.526078161,0.96719377,0.378620357,0.661196395,,,,,,,,,,,,,,,,,,,
GRMZM2G430152,-0.234708931,2.907874779,0.378627527,0.661196395,,,,,,,,,,,,,,,,,,,
GRMZM2G156648,-0.276380585,2.722965629,0.378713087,0.661294266,,,,,,,,,,,,,,,,,,,
GRMZM2G005947,-0.220674639,2.728329693,0.378779574,0.661345441,,,,,,,,,,,,,,,,,,,
GRMZM5G846329,-0.828215866,0.374839764,0.37880143,0.661345441,,,,,,,,,,,,,,,,,,,
GRMZM2G115975,-0.157335815,5.248250676,0.378863282,0.661352746,,,,,,,,,,,,,,,,,,,
GRMZM2G128358,-0.224289006,5.467185795,0.378864651,0.661352746,,,,,,,,,,,,,,,,,,,
GRMZM5G809743,-0.517190207,2.977544215,0.378922823,0.661374268,,,,,,,,,,,,,,,,,,,
GRMZM2G109429,-0.173593765,4.612072867,0.378936018,0.661374268,,,,,,,,,,,,,,,,,,,
GRMZM2G060579,-0.242505744,4.0252566,0.379006203,0.661445238,,,,,,,,,,,,,,,,,,,
GRMZM2G160452,-0.149735515,5.139074277,0.379047073,0.661465041,,,,,,,,,,,,,,,,,,,
GRMZM2G043509,-0.151983628,4.409540601,0.379293366,0.661843292,,,,,,,,,,,,,,,,,,,
GRMZM2G179329,-0.503189997,1.604024916,0.379364608,0.661916054,,,,,,,,,,,,,,,,,,,
GRMZM2G160606,-0.632028441,1.04018361,0.379411984,0.661947165,,,,,,,,,,,,,,,,,,,
GRMZM2G078541,-0.147530249,4.83913402,0.379463327,0.661948614,,,,,,,,,,,,,,,,,,,
GRMZM2G094831,-0.210220832,3.647539887,0.379476305,0.661948614,,,,,,,,,,,,,,,,,,,
GRMZM2G045753,-0.18577134,4.541852693,0.379528159,0.661948614,,,,,,,,,,,,,,,,,,,
AC197047.3_FG001,-0.431969249,2.221999017,0.379549128,0.661948614,,,,,,,,,,,,,,,,,,,
GRMZM2G137821,-0.545695462,1.977634857,0.379566722,0.661948614,,,,,,,,,,,,,,,,,,,
GRMZM2G408010,-0.294085809,2.318694373,0.379601115,0.661948614,,,,,,,,,,,,,,,,,,,
GRMZM2G055054,1.180347271,0.573958261,0.379619627,0.661948614,,,,,,,,,,,,,,,,,,,
GRMZM2G024655,0.377525977,1.166252728,0.379990179,0.662543188,,,,,,,,,,,,,,,,,,,
GRMZM2G425583,0.975399123,3.137471258,0.38003167,0.662563969,,,,,,,,,,,,,,,,,,,
GRMZM2G165488,0.480304385,3.399192557,0.380117794,0.662662557,,,,,,,,,,,,,,,,,,,
GRMZM2G322953,0.152785973,6.677543699,0.380254951,0.662810437,,,,,,,,,,,,,,,,,,,
GRMZM2G429112,0.768465598,0.485067481,0.380305501,0.662810437,,,,,,,,,,,,,,,,,,,
GRMZM2G138407,-0.214282738,3.359629964,0.380308289,0.662810437,,,,,,,,,,,,,,,,,,,
GRMZM2G103490,-0.17602635,4.88294517,0.380321881,0.662810437,,,,,,,,,,,,,,,,,,,
GRMZM2G001930,-0.219576781,4.553364463,0.380350538,0.662810437,,,,,,,,,,,,,,,,,,,
GRMZM2G083972,-0.540032034,0.893956873,0.380450101,0.662912517,,,,,,,,,,,,,,,,,,,
GRMZM5G869788,-0.246306605,3.862223987,0.38048895,0.662912517,,,,,,,,,,,,,,,,,,,
GRMZM2G033592,-0.211545298,5.166000585,0.380497879,0.662912517,,,,,,,,,,,,,,,,,,,
GRMZM2G081144,0.195753614,6.818951715,0.380639798,0.66310821,,,,,,,,,,,,,,,,,,,
GRMZM2G105627,-0.418705267,1.840303178,0.380744526,0.663220454,,,,,,,,,,,,,,,,,,,
GRMZM2G041881,0.136853729,5.293044886,0.380791072,0.663220454,,,,,,,,,,,,,,,,,,,
GRMZM2G154048,0.822961592,0.047380706,0.380793034,0.663220454,,,,,,,,,,,,,,,,,,,
AC204944.3_FG004,0.958633582,1.417925828,0.38090073,0.66335646,,,,,,,,,,,,,,,,,,,
GRMZM2G024657,0.19542907,3.88698346,0.381078685,0.663614793,,,,,,,,,,,,,,,,,,,
GRMZM2G455909,-0.543731353,4.501677784,0.381178206,0.663688062,,,,,,,,,,,,,,,,,,,
GRMZM2G448834,0.422626068,0.811813483,0.381230523,0.663688062,,,,,,,,,,,,,,,,,,,
GRMZM2G451357,0.153683046,5.888598117,0.381232632,0.663688062,,,,,,,,,,,,,,,,,,,
GRMZM2G001457,-0.175869543,8.523411441,0.381264668,0.663688062,,,,,,,,,,,,,,,,,,,
GRMZM2G053324,-0.966655579,0.298958122,0.381268871,0.663688062,,,,,,,,,,,,,,,,,,,
GRMZM2G439860,-0.568070503,0.575503087,0.381319944,0.6637254,,,,,,,,,,,,,,,,,,,
GRMZM2G046101,-0.578582097,1.157615792,0.381410908,0.66383216,,,,,,,,,,,,,,,,,,,
GRMZM5G868381,0.385963416,1.441193798,0.381440988,0.663832946,,,,,,,,,,,,,,,,,,,
GRMZM2G085320,-0.332659586,2.898297296,0.381576008,0.664016347,,,,,,,,,,,,,,,,,,,
GRMZM2G074122,0.214585128,3.994256099,0.381765117,0.66423127,,,,,,,,,,,,,,,,,,,
GRMZM2G167085,-0.497255697,1.598430344,0.381766748,0.66423127,,,,,,,,,,,,,,,,,,,
GRMZM2G029249,0.506022209,1.006494073,0.381801399,0.66423127,,,,,,,,,,,,,,,,,,,
GRMZM2G090152,0.638334309,0.756878074,0.38187371,0.66423127,,,,,,,,,,,,,,,,,,,
GRMZM2G093195,-0.351606059,2.381754677,0.381875214,0.66423127,,,,,,,,,,,,,,,,,,,
GRMZM2G145908,-0.522469931,0.794281519,0.381877393,0.66423127,,,,,,,,,,,,,,,,,,,
GRMZM2G062425,0.249244111,5.354840291,0.381952984,0.664311179,,,,,,,,,,,,,,,,,,,
GRMZM2G026490,-0.273579413,3.502558382,0.381992901,0.664329034,,,,,,,,,,,,,,,,,,,
GRMZM2G052268,-0.426161255,0.974490471,0.382108111,0.66447782,,,,,,,,,,,,,,,,,,,
GRMZM2G388539,0.296736877,2.082134564,0.382146563,0.664493112,,,,,,,,,,,,,,,,,,,
GRMZM5G895282,-0.237898499,3.106958318,0.382299906,0.664697719,,,,,,,,,,,,,,,,,,,
GRMZM2G138053,-0.179019433,4.077602287,0.382323566,0.664697719,,,,,,,,,,,,,,,,,,,
GRMZM2G175258,-0.484811746,2.9627683,0.38240737,0.664747512,,,,,,,,,,,,,,,,,,,
AC208110.2_FG006,0.838773377,3.612497246,0.382421463,0.664747512,,,,,,,,,,,,,,,,,,,
GRMZM5G891834,-0.200231426,4.029449437,0.382441216,0.664747512,,,,,,,,,,,,,,,,,,,
GRMZM2G042615,0.226502211,3.507334058,0.382474452,0.664753712,,,,,,,,,,,,,,,,,,,
GRMZM2G079343,0.244464601,3.089791058,0.382550632,0.664828773,,,,,,,,,,,,,,,,,,,
GRMZM2G128663,0.147160157,5.777181538,0.382600727,0.664828773,,,,,,,,,,,,,,,,,,,
GRMZM2G179768,0.316475137,2.353880015,0.382606659,0.664828773,,,,,,,,,,,,,,,,,,,
GRMZM2G177942,0.462950603,2.971078004,0.382668012,0.664883816,,,,,,,,,,,,,,,,,,,
GRMZM2G103179,0.212394043,4.405834369,0.382751459,0.664926933,,,,,,,,,,,,,,,,,,,
AC235543.1_FG002,-0.466573014,0.943621993,0.382767335,0.664926933,,,,,,,,,,,,,,,,,,,
GRMZM2G098859,0.285647827,2.866140754,0.382796076,0.664926933,,,,,,,,,,,,,,,,,,,
GRMZM2G157219,-0.162100914,4.180182765,0.382811538,0.664926933,,,,,,,,,,,,,,,,,,,
GRMZM2G075992,0.17431353,4.269278472,0.38287659,0.664988372,,,,,,,,,,,,,,,,,,,
GRMZM2G355562,-0.541635113,1.054689505,0.382922257,0.664999506,,,,,,,,,,,,,,,,,,,
GRMZM2G409430,-0.202168127,2.771318811,0.382989801,0.664999506,,,,,,,,,,,,,,,,,,,
GRMZM2G050512,-0.231064453,4.096462342,0.383023354,0.664999506,,,,,,,,,,,,,,,,,,,
GRMZM2G389070,0.817274461,0.205956383,0.383028723,0.664999506,,,,,,,,,,,,,,,,,,,
GRMZM2G148811,-0.154223757,5.273816668,0.383039204,0.664999506,,,,,,,,,,,,,,,,,,,
GRMZM2G100462,-0.218794868,4.119774789,0.383061086,0.664999506,,,,,,,,,,,,,,,,,,,
GRMZM2G037130,-0.302061042,3.758047382,0.383159488,0.665089773,,,,,,,,,,,,,,,,,,,
GRMZM5G863784,0.187943184,4.052016702,0.383185364,0.665089773,,,,,,,,,,,,,,,,,,,
GRMZM5G873561,-0.470659089,1.408499177,0.383202137,0.665089773,,,,,,,,,,,,,,,,,,,
GRMZM2G137839,0.150158819,7.235490485,0.383313287,0.665231154,,,,,,,,,,,,,,,,,,,
GRMZM2G161180,0.422174061,1.683808535,0.383360146,0.665243296,,,,,,,,,,,,,,,,,,,
GRMZM2G061018,0.227519599,2.902276689,0.383402985,0.665243296,,,,,,,,,,,,,,,,,,,
GRMZM2G539049,-0.24066563,3.745818093,0.383409359,0.665243296,,,,,,,,,,,,,,,,,,,
GRMZM2G378102,-0.523729696,0.775294209,0.383503834,0.665355691,,,,,,,,,,,,,,,,,,,
AC211349.4_FG001,0.250839762,4.663302111,0.383594912,0.665422316,,,,,,,,,,,,,,,,,,,
GRMZM2G339009,0.681337631,0.522161993,0.383630625,0.665422316,,,,,,,,,,,,,,,,,,,
GRMZM2G176568,-0.583786808,1.091863949,0.383686857,0.665422316,,,,,,,,,,,,,,,,,,,
GRMZM2G030139,-0.181693643,4.725598948,0.383688703,0.665422316,,,,,,,,,,,,,,,,,,,
GRMZM2G007157,0.168038876,5.724591319,0.383690734,0.665422316,,,,,,,,,,,,,,,,,,,
GRMZM2G104882,0.230725969,3.028467507,0.383775901,0.665518503,,,,,,,,,,,,,,,,,,,
GRMZM2G039906,-0.183318611,4.409111899,0.383844899,0.665586638,,,,,,,,,,,,,,,,,,,
GRMZM2G104999,0.202324988,4.139963104,0.384037541,0.665834604,,,,,,,,,,,,,,,,,,,
AC214817.3_FG007,-0.767452627,0.741351347,0.384055328,0.665834604,,,,,,,,,,,,,,,,,,,
GRMZM2G073578,0.181537593,3.659651183,0.384077055,0.665834604,,,,,,,,,,,,,,,,,,,
GRMZM2G082529,-0.170427732,4.797646651,0.384171468,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G151208,1.038845072,2.812612647,0.384206471,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G088511,-0.186295086,6.958033665,0.384260363,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G169207,0.157886684,6.633652872,0.384296913,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G022402,0.338283929,3.477844006,0.3843177,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G078711,-0.17988534,4.326432911,0.384332374,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G370745,0.300271728,4.109457327,0.384359811,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G174554,0.316574464,3.609148217,0.384375749,0.665899039,,,,,,,,,,,,,,,,,,,
